Snyder_nhr-237_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3850		
Snyder_nhr-237_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3851		
Snyder_nhr-237_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3852		
Snyder_nhr-237_GFP_EMB	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3853		
Snyder_nhr-116_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3854		
Snyder_ZK546.5_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3855		
Snyder_PAX-1_GFP_EMB	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3856		
Snyder_CES-1_GFP_EMB	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3857		
Snyder_CEH-39_GFP_EMB	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3858		
Snyder_NHR-2_GFP_EMB	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3859		
Snyder_RABS-5_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3860		
Snyder_NHR-275_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3861		
Snyder_SYP-1_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3862		
Snyder_Pges-1_HPL-2_YL416_L1	Snyder	Snyder					NOT RELEASED							2011-07-30		uploaded	3863		
pncr012 RNAi RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3865		
pncr013 RNAi RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3866		
pncr009 overexpression RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3867		
pncr012 overexpression RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3868		
pncr013 overexpression RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3869		
dslacz RNAi control RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3870		
mock treatment RNAi RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3871		
empty vector overexpression control RNA-seq	Celniker	Perrimon					NOT RELEASED							2011-07-26		uploaded	3872		
H3K18Ac_14-16h_embryos_mixedABlot	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3886		
H3K36me3 abcam.D.mel 3rd Instar Larvae Nuclei Su(var) 3-9 06_17 Mutant	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3888		
H3K9me2-Ab2 (new lot).D.mel 3rd Instar Larvae Nuclei Su(var) 3-9 06_17 Mutant	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3889		
H3K9me3 abcam.D.mel 3rd Instar Larvae Nuclei Su(var) 3-9 06_17 Mutant	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3891		
HP1 wa191.D.mel 3rd Instar Larvae Nuclei Su(var) 3-9 06_17 Mutant	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3892		
POF (MO 459).14-16 hr OR embryo	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3895		
POF (MO 459).D.mel 3rd Instar Larvae Nuclei HP1a Mutant	Karpen	Karpen					NOT RELEASED							2011-07-29		uploaded	3896		
RNA-seq C. elegans Pharyngeal Muscle sequence & alignments	Waterston	Waterston					NOT RELEASED							2011-08-25		uploaded	3900		
seq-SDQ3161_GAK1_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3914		
seq-SDQ3179_GAK1_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3915		
seq-SDQ0801_HIM17_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3916		
seq-SDQ4501_T09A5.8_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3917		
seq-SDQ4625_T09A5.8_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3918		
seq-ab9051_H4K20me1csr_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3919		
seq-WA30534819_H3K4me3_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3920		
seq-WA30634849_H3K27ac_FEM2_AD	Lieb	Dernburg					NOT RELEASED							2011-09-01		uploaded	3921		
